#[checkUsbDeviceInputs] Check the input from the selected device
deviceID, keyName, time
#Input Device ID (0 to 0; -1, all keyboards, -2, all keypads; -3, all keyboards and keypads): 0
#Press keys to test; "" to quit
0, Return, 14:01:37.712
0, Return, 14:01:37.716
0, Return, 14:01:37.718
0, Return, 14:01:37.720
0, Return, 14:01:37.722
0, Return, 14:01:37.724
0, Return, 14:01:37.727
0, Return, 14:01:37.729
0, Return, 14:01:37.732
0, Return, 14:01:37.734
0, Return, 14:01:37.736
0, Return, 14:01:37.738
0, Return, 14:01:37.740
0, Return, 14:01:37.742
0, Return, 14:01:37.744
0, Return, 14:01:37.746
0, Return, 14:01:37.749
0, Return, 14:01:37.751
0, Return, 14:01:37.752
0, Return, 14:01:37.754
0, Return, 14:01:37.757
0, Return, 14:01:37.758
0, Return, 14:01:37.760
0, Return, 14:01:37.762
0, Return, 14:01:37.764
0, Return, 14:01:37.766
0, Return, 14:01:37.767
0, Return, 14:01:37.769
0, Return, 14:01:37.771
0, Return, 14:01:37.773
0, Return, 14:01:37.774
0, Return, 14:01:37.776
0, o, 14:01:39.777
0, o, 14:01:39.779
0, o, 14:01:39.780
0, o, 14:01:39.782
0, o, 14:01:39.784
0, o, 14:01:39.786
0, o, 14:01:39.788
0, o, 14:01:39.790
0, o, 14:01:39.791
0, o, 14:01:39.793
0, o, 14:01:39.794
0, o, 14:01:39.796
0, o, 14:01:39.798
0, o, 14:01:39.799
0, o, 14:01:39.802
0, o, 14:01:39.804
0, o, 14:01:39.805
0, o, 14:01:39.807
0, o, 14:01:39.809
0, o, 14:01:39.810
0, o, 14:01:39.812
0, o, 14:01:39.813
0, o, 14:01:39.815
0, o, 14:01:39.818
0, o, 14:01:39.820
0, o, 14:01:39.822
0, o, 14:01:39.823
0, o, 14:01:39.825
0, o, 14:01:39.827
0, o, 14:01:39.829
0, o, 14:01:39.831
0, o, 14:01:39.832
0, o, 14:01:39.836
0, o, 14:01:39.838
0, l, 14:01:40.478
0, l, 14:01:40.479
0, l, 14:01:40.482
0, l, 14:01:40.484
0, l, 14:01:40.486
0, l, 14:01:40.487
0, l, 14:01:40.489
0, l, 14:01:40.490
0, l, 14:01:40.492
0, l, 14:01:40.493
